空域ID,城市,垂直范围,水平范围
ZGGGAR04,广州,0-8400,"N242118 E1111648, N232430 E1123200, N230417 E1122907, N224800 E1122918, N215048 E1113030, N222806 E1104706, N225136 E1103300, N240742 E1101106, N240854 E1111600, N242118 E1111648"
ZGGGAR05,广州,0-9800,"N222130 E1135200, N214115 E1130000, N222606 E1130000, N224800 E1122918, N230417 E1122907, N232430 E1123200, N233206 E1132306, N235542 E1133836, N234306 E1141200, N233855 E1141941, N232600 E1142742, N231524 E1141118, N225400 E1140342, N224818 E1142800, N223700 E1144500, N222430 E1144500, N222430 E1143000, Hong Kong Boundaries, N222130 E1135200"
ZGGGAR06,广州,0-12500,"N222430 E1144500, N222430 E1154000, N223800 E1162200, N230500 E1153300, N231906 E1154518, N234257 E1155437, N232600 E1142742, N231524 E1141118, N225400 E1140342, N224818 E1142800, N223700 E1144500, N222430 E1144500"
ZGGGAR08,广州,0-12500,"N234200 E1171100, N233000 E1173000, N230000 E1173000, N223800 E1162200, N230500 E1153300, N231906 E1154518, N234257 E1155437, N241024 E1160526, N242857 E1161243, N242200 E1164200, N240000 E1165800, N234200 E1171100"
ZGGGAR11,广州,9200-12500,"N263500 E1091900, N251636 E1112024, N240854 E1111600, N240742 E1101106, N244006 E1095024, N254200 E1073900, N263500 E1091900"
ZGGGAR12,广州,7800-12500,"N273718 E1121729, N265430 E1123800, N253342 E1122130, N253100 E1121146, N251636 E1112024, N260608 E1100352, N274219 E1104255, N280734 E1104255, N281906 E1114720, a clockwised arc with radius, 50km centered at Laoliangcang, ‘LLC', N273718 E1121729."
ZGGGAR13,广州,7800-9800,"N283100 E1121144, N292500 E1121000, N292300 E1130712, N290200 E1143400, N274501 E1141326, N273743 E1133143, N265430 E1123800, N273718 E1121729, a clockwised arc with radius, 50km centered at Laoliangcang, ‘LLC', N283100 E1121144"
ZGGGAR14,广州,9800-12500,"N283100 E1121144, N292500 E1121000, N292300 E1130712, N290200 E1143400, N264200 E1135700, N262414 E1140132, N262210 E1135357, N261332 E1134323, N255630 E1134200, N253342 E1122130, N265430 E1123800, N273718 E1121729, a clockwised arc with radius, 50km centered at Laoliangcang, ‘LLC', N283100 E1121144"
ZGGGAR15,广州,7800-9800,"N304659 E1141214, N300520 E1141833, N290200 E1143400, N292300 E1130712, N292402 E1123854, N301259 E1131108, N303822 E1130832, N310701 E1130536, N304659 E1141214"
ZGGGAR16,广州,7800-9800,"N325430 E1154848, N314628 E1155142, N311730 E1144752, N304659 E1141214, N310701 E1130536, N313036 E1114651, N325635 E1121509, N323502 E1130153, N322530 E1132600, N320730 E1140412, N325430 E1154848"
ZGGGAR17,广州,7800-12500,"N333200 E1105200, N325635 E1121509, N313036 E1114651, N303343 E1112837, N292800 E1110800, N293100 E1092400, N315400 E1093100, N333200 E1105200"
ZGGGAR19,广州,7800-9200,"N281906 E1114720, N280734 E1104255, N275257 E1092121, N284700 E1092300, N293100 E1092400, N292800 E1110800, N292500 E1121000, N283100 E1121144, a clockwised arc with radius, 50km centered at Laoliangcang, ‘LLC', N281906 E1114720."
ZGGGAR20,广州,0-9800,"N260300 E1140700, N262414 E1140132, N262210 E1135357, N261332 E1134323, N255630 E1134200, N251228 E1133805, N244800 E1145100, N252605 E1145923, N260300 E1140700"
ZGGGAR21,广州,9800-12500,"N325430 E1154848, N300500 E1155600, N290200 E1143400, N300520 E1141833, N304659 E1141214, N313036 E1114651, N325635 E1121509, N320730 E1140412, N325430 E1154848"
ZGGGAR22,广州,7800-9200,"N263500 E1091900, N251636 E1112024, N240854 E1111600, N240742 E1101106, N244006 E1095024, N254200 E1073900, N263500 E1091900"
ZGGGAR23,广州,0-12500,"N232430 E1123200, N235103 E1124749, N242905 E1123408, N253100 E1121146, N251636 E1112024, N242118 E1111648, N232430 E1123200"
ZGGGAR24,广州,0-12500,"N214115 E1130000, N222606 E1130000, N224800 E1122918, N215048 E1113030, N213412 E1114936, N210900 E1113000, N203000 E1113000, N214115 E1130000"
ZGGGAR25,广州,7800-9800,"N274501 E1141326, N264200 E1135700, N262414 E1140132, N262210 E1135357, N261332 E1134323, N255630 E1134200, N253342 E1122130, N265430 E1123800, N273743 E1133143, N274501 E1141326"
ZGGGAR27,广州,9800-12500,"N304659 E1141214, N300520 E1141833, N290200 E1143400, N292300 E1130712, N292800 E1110800, N303343 E1112837, N313036 E1114651, N304659 E1141214"
ZGGGAR28,广州,0-12500,"N260300 E1140700, N252605 E1145923, N244800 E1145100, N244537 E1145805, N250530 E1152500, N254600 E1145224, N260300 E1140700"
ZGGGAR29,广州,9800-12500,"N222130 E1135200, N214115 E1130000, N222606 E1130000, N224800 E1122918, N230417 E1122907, N232430 E1123200, N233206 E1132306, N235542 E1133836, N234306 E1141200, N233855 E1141941, N232600 E1142742, N231524 E1141118, N225400 E1140342, N224818 E1142800, N223700 E1144500, N222430 E1144500, N222430 E1143000, Hong Kong Boundaries, N222130 E1135200"
ZGGGAR30,广州,8400-12500,"N242118 E1111648, N232430 E1123200, N230417 E1122907, N224800 E1122918, N215048 E1113030, N222806 E1104706, N225136 E1103300, N240742 E1101106, N240854 E1111600, N242118 E1111648"
ZGGGAR31,广州,7800-9800,"N310701 E1130536, N303822 E1130832, N301259 E1131108, N292402 E1123854, N292500 E1121000, N292800 E1110800, N303343 E1112837, N313036 E1114651, N310701 E1130536"
ZGGGAR32,广州,7800-12500,"N280734 E1104255, N274219 E1104255, N260608 E1100352, N263500 E1091900, N275257 E1092121, N280734 E1104255"
ZGGGAR33,广州,0-12500,"N255630 E1134200, N251228 E1133805, N242156 E1133348, N241958 E1132512, N242905 E1123408, N253100 E1121146, N253342 E1122130, N255630 E1134200"
ZGGGAR34,广州,8400-12500,"N241736 E1144406, N234306 E1141200, N235542 E1133836, N241106 E1133254, N242156 E1133348, N251228 E1133805, N244800 E1145100, N241736 E1144406"
ZGGGAR35,广州,9800-12500,"N260300 E1140700, N262414 E1140132, N262210 E1135357, N261332 E1134323, N255630 E1134200, N251228 E1133805, N244800 E1145100, N252605 E1145923, N260300 E1140700"
ZGGGAR36,广州,7800-9800,"N314628 E1155142, N300500 E1155600, N290200 E1143400, N300520 E1141833, N304659 E1141214, N311730 E1144752, N314628 E1155142"
ZGGGAR37,广州,9200-12500,"N281906 E1114720, N280734 E1104255, N275257 E1092121, N284700 E1092300, N293100 E1092400, N292800 E1110800, N292500 E1121000, N283100 E1121144, a clockwised arc with radius, 50km centered at Laoliangcang, ‘LLC', N281906 E1114720."
ZSAMAR01,厦门,0-7800,"N265000 E1162900, N260000 E1171551, N253625 E1172817, N243400 E1180100, N235631 E1184006, N230000 E1173000, N233000 E1173000, N234200 E1171100, N240000 E1165800, N242200 E1164200, N244024 E1152430, N250530 E1152500, N265000 E1162900"
ZSAMAR02,厦门,0-7800,"N255659 E1190126, N260000 E1175938, N253625 E1172817, N243400 E1180100, N235631 E1184006, N244130 E1193615, N250000 E1200000, N251425 E1201359, N254430 E1192306, N255659 E1190126"
ZSAMAR03,厦门,6000-7800,"N273307 E1191850, N270418 E1190826, N261826 E1190803, N255659 E1190126, N254430 E1192306, N251425 E1201359, N262908 E1212656, N272748 E1193006, N273307 E1191850"
ZSAMAR04,厦门,0-7800,"N265000 E1162900, N271200 E1165800, N274042 E1175918, N275512 E1183154, N273307 E1191850, N270418 E1190826, N261826 E1190803, N255659 E1190126, N260000 E1175938, N253625 E1172817, N260000 E1171551, N265000 E1162900"
ZGHAAR01,长沙,0-7800,"N292500 E1121000, N280106 E1125748, N263212 E1125048, N253342 E1122130, N251636 E1112024, N261600 E1094833, N270900 E1103700, N274219 E1104255, N282717 E1104101, N285048 E1113712, N292500 E1121000"
ZGHAAR02,长沙,0-7800,"N292500 E1121000, N292300 E1130712, N290200 E1143400, N274056 E1141229, N273900 E1133054, N271654 E1125418, N280106 E1125748, N292500 E1121000"
ZGHAAR03,长沙,0-7800,"N271654 E1125418, N273900 E1133054, N274056 E1141229, N264200 E1135700, N260300 E1140700, N253342 E1122130, N263212 E1125048, N271654 E1125418"
ZGHAAR04,长沙,0-7800,"N293100 E1092400, N292500 E1121000, N285048 E1113712, N275348 E1092123, N284700 E1092300, N293100 E1092400"
ZGHAAR05,长沙,0-6600,"N292500 E1121000, N280106 E1125748, N263212 E1125048, N253342 E1122130, N251636 E1112024, N261600 E1094833, N270900 E1103700, N274219 E1104255, N282717 E1104101, N285048 E1113712, N292500 E1121000"
ZGHAAR06,长沙,0-7800,"N263500 E1091900, N275348 E1092123, N282717 E1104101, N274219 E1104255, N270900 E1103700, N261600 E1094833, N263500 E1091900"
ZGKLAR01,桂林,0-7800,"N263500 E1091900, N251636 E1112024, N240854 E1111600, N240742 E1101106, N244006 E1095024, N254200 E1073900, N263500 E1091900"
ZJSYAR01,三亚,9200-12500,"N203000 E1080300, N195733 E1075547, N191604 E1071123, N182028 E1074053, N174000 E1082600, N174000 E1094000, N193000 E1113000, N203000 E1113000, N203000 E1080300"
ZJSYAR02,三亚,4270-12500,"N174000 E1082600, N174000 E1094000, N193000 E1113000, N182300 E1123000, N170000 E1113000, N160000 E1101734, N174000 E1082600"
ZJSYAR03,三亚,4270-12500,"N160000 E1101734, N170000 E1113000, N182300 E1123000, N164000 E1140000, N143000 E1140000, N143000 E1120000, N160000 E1101734"
ZJSYAR04,三亚,7200-9200,"N203000 E1080300, N195733 E1075547, N191604 E1071123, N182028 E1074053, N174000 E1082600, N174000 E1094000, N193000 E1113000, N203000 E1113000, N203000 E1080300"
ZJSYAR11,三亚,7800-12500,"N222806 E1104706, N213412 E1114936, N210900 E1113000, N203000 E1113000, N203000 E1100018, N222918 E1100018, N222806 E1104706"
ZJSYAR12,三亚,8900-12500,"N223018 E1092812, N213748 E1085812, N210000 E1084800, N203000 E1091500, N203000 E1100018, N222918 E1100018, N223018 E1092812"
ZGNNAR01,南宁,0-9800,"N250632 E1085425, N244006 E1095024, N240742 E1101106, N240854 E1111600, N232842 E1111824, N225136 E1103300, N222806 E1104706, N223018 E1092812, N220304 E1091236, N223200 E1090821, N230750 E1090430, N232428 E1085045, N233804 E1084821, N234055 E1080504, N234915 E1080942, N250632 E1085425"
ZGNNAR02,南宁,0-9800,"N231145 E1053230, N243900 E1054800, N254200 E1073900, N250632 E1085425, N234915 E1080942, N234055 E1080504, N231043 E1074818, N225915 E1060819, National Boundaries, N231145 E1053230"
ZGNNAR03,南宁,0-9800,"N225915 E1060819, N231043 E1074818, N234055 E1080504, N233804 E1084821, N232428 E1085045, N230750 E1090430, N223200 E1090821, N220304 E1091236, N213748 E1085812, N210000 E1084800, N203000 E1091500, N203000 E1080300, N211235 E1081231, National Boundaries, N225915 E1060819"
ZGNNAR04,南宁,9800-12500,"N250632 E1085425, N244006 E1095024, N240742 E1101106, N225136 E1103300, N222806 E1104706, N223018 E1092812, N220304 E1091236, N223200 E1090821, N230750 E1090430, N232428 E1085045, N233804 E1084821, N234055 E1080504, N234915 E1080942, N250632 E1085425"
ZGNNAR05,南宁,9800-12500,"N231145 E1053230, N243900 E1054800, N254200 E1073900, N250632 E1085425, N234915 E1080942, N234055 E1080504, N231043 E1074818, N225915 E1060819, National Boundaries, N231145 E1053230"
ZGNNAR06,南宁,9800-12500,"N225915 E1060819, N231043 E1074818, N234055 E1080504, N233804 E1084821, N232428 E1085045, N230750 E1090430, N223200 E1090821, N220304 E1091236, N213748 E1085812, N210000 E1084800, N203000 E1091500, N203000 E1080300, N211235 E1081231, National Boundaries, N225915 E1060819"
ZUGYAR01,贵阳,0-7800,"N284700 E1092300, N275100 E1061300, N270220 E1063945, N264655 E1070126, N280020 E1092131, N284700 E1092300"
ZUGYAR02,贵阳,0-7800,"N265700 E1044900, N273600 E1052500, N275100 E1061300, N270220 E1063945, N262922 E1064106, N250645 E1063650, N243900 E1054800, N265700 E1044900"
ZUGYAR03,贵阳,0-7800,"N270220 E1063945, N262922 E1064106, N250645 E1063650, N254200 E1073900, N263500 E1091900, N280020 E1092131, N264655 E1070126, N270220 E1063945"
ZPPPAR01,昆明,0-12500,"N251404 E1022818, N252500 E1022500, N260602 E1024906, N270928 E1023939, N274500 E1035300, N273600 E1052500, N265700 E1044900, N264500 E1042425, N260405 E1034626, N251404 E1022818"
ZPPPAR02,昆明,0-12500,"N250448 E1023106, N251404 E1022818, N260405 E1034626, N264500 E1042425, N265700 E1044900, N255000 E1051747, N250314 E1035222, N250448 E1023106"
ZPPPAR03,昆明,0-12500,"N224650 E1023056, N240630 E1024530, N250448 E1023106, N250314 E1035222, N255000 E1051747, N243900 E1054800, N231145 E1053230, National Boundaries, N224650 E1023056"
ZPPPAR04,昆明,0-12500,"N224614 E0992308, N234004 E1004123, N241801 E1014043, N250448 E1023106, N240630 E1024530, N224650 E1023056, National Boundaries, N224614 E0992308"
ZPPPAR05,昆明,0-12500,"N240500 E0985234, N244613 E1010931, N250448 E1023106, N241801 E1014043, N234004 E1004123, N224614 E0992308, National Boundaries, N240500 E0985234"
ZPPPAR06,昆明,0-12500,"N283100 E0973500, N282942 E0985430, N265312 E1020630, N270928 E1023939, N260602 E1024906, N252500 E1022500, N251404 E1022818, N250448 E1023106, N244613 E1010931, N240500 E0985234, National Boundaries, N283100 E0973500"
ZUUUAR01,成都,7800-12500,"N321400 E1072400, N315853 E1090000, N304821 E1082544, N294252 E1070223, N294324 E1063842, N294206 E1054400, N321400 E1072400"
ZUUUAR02,成都,0-8100,"N301706 E1050106, N300701 E1044030, N300000 E1042636, N295546 E1041814, N295748 E1032853, N273343 E1032940, N274500 E1035300, N273600 E1052500, N275100 E1061300, N283506 E1054130, N294206 E1054400, N301706 E1050106"
ZUUUAR03,成都,0-12500,"N325500 E1014200, N300932 E1013144, N294338 E1011709, N275048 E1001133, N282942 E0985430, N283100 E0973500, N310900 E0971030, N320600 E0970000, N314900 E0983500, N325500 E1014200"
ZUUUAR04,成都,0-12500,"N322700 E1054900, N333500 E1035300, N331056 E1023410, N310000 E1033700, N311456 E1042244, N311029 E1043336, N321618 E1043022, N321526 E1052533, N322700 E1054900"
ZUUUAR05,成都,0-12500,"N305435 E1045823, N303939 E1045652, N301706 E1050106, N294206 E1054400, N310407 E1063740, N312422 E1065102, N311221 E1060549, N310425 E1045837, N310011 E1045140, N305435 E1045823"
ZUUUAR06,成都,0-7800,"N321400 E1072400, N315811 E1090430, N304821 E1082544, N293505 E1070303, N294324 E1063842, N294206 E1054400, N321400 E1072400"
ZUUUAR07,成都,0-7800,"N294206 E1054400, N294324 E1063842, N284700 E1092300, N275100 E1061300, N283506 E1054130, N294206 E1054400"
ZUUUAR08,成都,8100-12500,"N300000 E1042636, N295546 E1041814, N295748 E1032853, N273343 E1032940, N274500 E1035300, N273952 E1044532, N280235 E1051147, N300000 E1042636"
ZUUUAR09,成都,0-12500,"N321526 E1052533, N321618 E1043022, N311029 E1043336, N310550 E1044453, N310011 E1045140, N312851 E1053820, N321526 E1052533"
ZUUUAR10,成都,7800-12500,"N294206 E1054400, N294324 E1063842, N294252 E1070223, N282615 E1081309, N275100 E1061300, N283506 E1054130, N294206 E1054400"
ZUUUAR11,成都,0-12500,"N310000 E1033700, N295900 E1030000, N295546 E1041814, N300701 E1044030, N301706 E1050106, N303939 E1045652, N305435 E1045823, N310550 E1044453, N311456 E1042244, N310000 E1033700"
ZUUUAR12,成都,0-12500,"N310000 E1033700, N331056 E1023410, N325500 E1014200, N300932 E1013144, N294338 E1011709, N295900 E1030000, N310000 E1033700"
ZUUUAR13,成都,7800-12500,"N282615 E1081309, N294252 E1070223, N304821 E1082544, N315853 E1090000, N315400 E1093100, N293100 E1092400, N284700 E1092300, N282615 E1081309"
ZUUUAR15,成都,0-12500,"N321738 E1065724, N310425 E1045837, N311221 E1060549, N312422 E1065102, N321400 E1072400, N321738 E1065724"
ZUUUAR16,成都,0-12500,"N321526 E1052533, N322700 E1054900, N321738 E1065724, N312851 E1053820, N321526 E1052533"
ZUUUAR17,成都,0-12500,"N295748 E1032853, N295900 E1030000, N294338 E1011709, N275048 E1001133, N265312 E1020630, N273343 E1032940, N295748 E1032853"
ZUUUAR18,成都,8100-12500,"N301706 E1050106, N300701 E1044030, N300000 E1042636, N280235 E1051147, N273952 E1044532, N273600 E1052500, N275100 E1061300, N283506 E1054130, N294206 E1054400, N301706 E1050106"
ZUUUAR19,成都,0-7800,"N315811 E1090430, N315400 E1093100, N293100 E1092400, N284700 E1092300, N293505 E1070303, N304821 E1082544, N315811 E1090430"
ZUUUAR21,成都,7800-12500,"N284700 E1092300, N263500 E1091900, N261801 E1084652, N264836 E1070730, N281246 E1072638, N284700 E1092300"
ZUUUAR22,成都,7800-12500,"N265700 E1044900, N273600 E1052500, N275100 E1061300, N281246 E1072638, N264836 E1070730, N263854 E1063621, N262852 E1050107, N265700 E1044900"
ZUUUAR23,成都,7800-12500,"N262852 E1050107, N263854 E1063621, N264836 E1070730, N261801 E1084652, N254200 E1073900, N250645 E1063650, N243900 E1054800, N262852 E1050107"
ZBHHAR01,呼和浩特,0-7800,"N424022 E1101306, N410737 E1105227, N410418 E1130054, N412749 E1132340, N412000 E1143100, N421106 E1162830, N421500 E1180500, N431442 E1173100, N452317 E1152115, National Boundaries, N424022 E1101306"
ZBHHAR02,呼和浩特,0-7800,"N414451 E1051345, N404300 E1055500, N401842 E1070012, N384400 E1094100, N393100 E1121700, N400600 E1131736, N402624 E1140500, N412000 E1143100, N412749 E1132340, N410418 E1130054, N410737 E1105227, N424022 E1101306, National Boundaries, N414451 E1051345"
ZLXYAR01,西安,0-8900,"N390648 E1090234, N384400 E1094100, N382200 E1103600, N372800 E1104400, N353200 E1101800, N345709 E1101615, N350711 E1094100, N352517 E1083547, N371841 E1074044, N390648 E1090234"
ZLXYAR02,西安,0-8900,"N350711 E1094100, N345709 E1101615, N343200 E1101500, N340500 E1102900, N333200 E1105200, N315400 E1093100, N315853 E1090000, N334327 E1090943, N350711 E1094100"
ZLXYAR03,西安,0-8900,"N334327 E1090943, N315853 E1090000, N321400 E1072400, N322700 E1054900, N342900 E1063956, N341627 E1072240, N334327 E1090943"
ZLXYAR04,西安,0-8900,"N371841 E1074044, N352517 E1083547, N341627 E1072240, N342900 E1063956, N345330 E1065100, N352924 E1062000, N371841 E1074044"
ZLXYAR05,西安,8900-12500,"N334327 E1090943, N315853 E1090000, N321400 E1072400, N322700 E1054900, N342900 E1063956, N341627 E1072240, N334327 E1090943"
ZLXYAR06,西安,8900-12500,"N390648 E1090234, N384400 E1094100, N382200 E1103600, N372800 E1104400, N353200 E1101800, N345709 E1101615, N350711 E1094100, N352517 E1083547, N371841 E1074044, N390648 E1090234"
ZLXYAR07,西安,8900-12500,"N350711 E1094100, N345709 E1101615, N343200 E1101500, N340500 E1102900, N333200 E1105200, N315400 E1093100, N315853 E1090000, N334327 E1090943, N350711 E1094100"
ZLXYAR08,西安,8900-12500,"N371841 E1074044, N352517 E1083547, N341627 E1072240, N342900 E1063956, N345330 E1065100, N352924 E1062000, N371841 E1074044"
ZLXYAR09,西安,8900-12500,"N380000 E1012156, N371148 E1040442, N341507 E1025645, N353901 E1004846, N364730 E0990500, N373712 E1010000, N380000 E1012156"
ZLXYAR10,西安,8900-12500,"N414451 E1051345, N404300 E1055500, N401842 E1070012, N390648 E1090234, N361549 E1065318, N371148 E1040442, N380000 E1012156, N414451 E1051345"
ZLXYAR11,西安,8900-12500,"N371148 E1040442, N361549 E1065318, N352924 E1062000, N345330 E1065100, N322700 E1054900, N333500 E1035300, N341507 E1025645, N371148 E1040442"
ZLXYAR12,西安,0-8900,"N352517 E1083547, N350711 E1094100, N334327 E1090943, N341627 E1072240, N352517 E1083547"
ZLXYAR13,西安,8900-12500,"N352517 E1083547, N350711 E1094100, N334327 E1090943, N341627 E1072240, N352517 E1083547"
ZLLLAR01,兰州,0-7800,"N380000 E1012156, N371148 E1040442, N363651 E1055136, N361549 E1065318, N352924 E1062000, N345330 E1065100, N351204 E1055559, N351538 E1054511, N354633 E1040907, N354656 E1031215, N363142 E1020154, N371140 E1000000, N373713 E1010017, N380000 E1012156"
ZLLLAR02,兰州,0-8900,"N395111 E1074718, N393218 E1070014, N384406 E1050519, N375917 E1052156, N375124 E1052506, N363651 E1055136, N361549 E1065318, N371841 E1074044, N390648 E1090234, N395111 E1074718"
ZLLLAR03,兰州,0-12500,"N414451 E1051345, N380000 E1012156, N385435 E0991308, N423409 E1012323, National Boundaries, N414451 E1051345"
ZLLLAR04,兰州,0-12500,"N384510 E0904548, N382100 E0901300, N362500 E0872300, N360200 E0890100, N325200 E0915500, N314900 E0983500, N325500 E1014200, N333500 E1035300, N353901 E1004846, N364730 E0990500, N381539 E0955309, N383413 E0925731, N383714 E0922406, N384510 E0904548"
ZLLLAR05,兰州,0-7800,"N371140 E1000000, N363142 E1020154, N354656 E1031215, N354633 E1040907, N351538 E1054511, N351204 E1055559, N345330 E1065100, N342900 E1063956, N322700 E1054900, N333500 E1035300, N353901 E1004846, N364730 E0990500, N371140 E1000000"
ZLLLAR06,兰州,7800-8900,"N371140 E1000000, N363142 E1020154, N354656 E1031215, N354633 E1040907, N351538 E1054511, N351204 E1055559, N345330 E1065100, N342900 E1063956, N322700 E1054900, N333500 E1035300, N353901 E1004846, N364730 E0990500, N371140 E1000000"
ZLLLAR07,兰州,0-12500,"N394310 E0971707, N392801 E0970200, N391608 E0965039, N385800 E0963249, N381539 E0955309, N364730 E0990500, N371140 E1000000, N373713 E1010017, N380000 E1012156, N385435 E0991308, N394310 E0971707"
ZLLLAR08,兰州,7800-8900,"N380000 E1012156, N371148 E1040442, N363651 E1055136, N361549 E1065318, N352924 E1062000, N345330 E1065100, N351204 E1055559, N351538 E1054511, N354633 E1040907, N354656 E1031215, N363142 E1020154, N371140 E1000000, N373713 E1010017, N380000 E1012156"
ZLLLAR09,兰州,0-12500,"N423409 E1012323, N385435 E0991308, N394310 E0971707, N401830 E0960518, N410141 E0950155, N412331 E0943103, N414800 E0950800, N425500 E0962014, National Boundaries, N423409 E1012323"
ZLLLAR11,兰州,0-8900,"N423409 E1012323, N385435 E0991308, N394310 E0971707, N401830 E0960518, N410141 E0950155, N412331 E0943103, N414800 E0950800, N425500 E0962014, National Boundaries, N423409 E1012323"
ZLLLAR12,兰州,0-12500,"N412331 E0943103, N384510 E0904548, N383714 E0922406, N383413 E0925731, N381539 E0955309, N385800 E0963249, N391608 E0965039, N392801 E0970200, N394310 E0971707, N401830 E0960518, N410141 E0950155, N412331 E0943103"
ZWWWAR01,乌鲁木齐,9500-12500,"N425500 E0962014, N414800 E0950800, N394659 E0921029, N401606 E0902422, N420937 E0911235, N423106 E0914139, N450048 E0923546, National Boundaries, N425500 E0962014"
ZWWWAR02,乌鲁木齐,0-12500,"N454450 E0904425, N452511 E0875813, N434848 E0875655, N433218 E0875636, N432051 E0871058, N433300 E0864200, N441628 E0845532, N441318 E0841712, N435648 E0811818, N434800 E0803224, National Boundaries, N454450 E0904425"
ZWWWAR03,乌鲁木齐,0-12500,"N434800 E0803224, N435648 E0811818, N441318 E0841712, N441628 E0845532, N433300 E0864200, N432051 E0871058, N420324 E0863400, N420305 E0861552, N421238 E0840005, N424130 E0814421, N425344 E0803515, National Boundaries, N434800 E0803224"
ZWWWAR04,乌鲁木齐,0-12500,"N450048 E0923546, N423106 E0914139, N420937 E0911235, N401606 E0902422, N411000 E0870249, N414241 E0864514, N420324 E0863400, N432051 E0871058, N433218 E0875636, N434848 E0875655, N452511 E0875813, N454450 E0904425, National Boundaries, N450048 E0923546"
ZWWWAR05,乌鲁木齐,0-12500,"N383015 E0745129, N382150 E0770943, N371744 E0780201, N372807 E0803015, N400424 E0860000, N411000 E0870249, N401606 E0902422, N394659 E0921029, N382100 E0901300, N362500 E0872300, N321806 E0840318, N302630 E0813730, National Boundaries, N383015 E0745129"
ZWWWAR06,乌鲁木齐,0-12500,"N383015 E0745129, N382150 E0770943, N371744 E0780201, N372807 E0803015, N400424 E0860000, N411000 E0870249, N414333 E0864436, N420324 E0863400, N420305 E0861552, N421238 E0840005, N424130 E0814421, N425344 E0803515, National Boundaries, N383015 E0745129"
ZWWWAR07,乌鲁木齐,0-9500,"N425500 E0962014, N414800 E0950800, N394659 E0921029, N401606 E0902422, N420937 E0911235, N423106 E0914139, N450048 E0923546, National Boundaries, N425500 E0962014"
ZWWWAR08,乌鲁木齐,0-9500,"N454450 E0904425, N452511 E0875813, N434848 E0875655, N422904 E0903636, N420937 E0911235, N423106 E0914139, N450048 E0923546, National Boundaries, N454450 E0904425"
ZULSAR01,拉萨,0-12500,"N302630 E0813730, N321806 E0840318, N362500 E0872300, N360200 E0890100, N325200 E0915500, N320600 E0970000, N310900 E0971030, N283100 E0973500, National Boundaries, N302630 E0813730"
ZGZJAR01,湛江,0-7800,"N213412 E1114936, N210900 E1113000, N203000 E1113000, N203018 E1102942, N215048 E1113030, N213412 E1114936"
ZGZJAR02,湛江,0-8900,"N223018 E1092812, N213748 E1085812, N210000 E1084800, N203000 E1091500, N203000 E1100018, N222918 E1100018, N223018 E1092812"
ZGZJAR03,湛江,0-7800,"N203018 E1102942, N215048 E1113030, N222806 E1104706, N222918 E1100018, N203000 E1100018, N203018 E1102942"
